,,,,,,,,,,,,,,,,,,,,
,ロタ ※1 ※4,3,5,,10 ※3 ※4,6,6.5 ※1 ※2,8,,6 ※4,2,,9.9,∞,19.8,49.5,8[2.5],,29,  []内は後メイン格闘の数値
,イーザー,3,3,5,6,9,10,12,5,,2,,,,,,,,33,
,ロンギヌスベータ,3,3,,4,6※1,15,15,4 ※1,8,2,,,,,,,,34,[]内は時限強化時の数値
,キャミィ,3,5,6,4,8,6,112(2.5) ※2 ※4 ※8,,10,2,,0,∞,0,28.1,13[6.5],,28[38],[]内は時限強化時の数値
,セイレーン,3,3,,8,12,,,,7,7,,,,,,,,33,
,セイレーン(巡遊),3,3,,12,6,6,8,,25,2,,,,,,7.3,,33,
,無銘,3,3[2],6,6,8,,,,,2,40(5) ※2 ※4,10.5,19.1,22.5,40.93,26,,32,  []内は射撃CSのチャージ時間
,無銘(妖刀),3,3[2],6,6,8,,,,,2,,10.5,19.1,22.5,40.93,,,32,  []内は射撃CSのチャージ時間
,アカツキ,3,3[3],,8,6,7,,,,2,,,,,,,650,33,  []内は射撃CSのチャージ時間
,ヴォイドセーバー,3,3,,3,5,,10,,6 ※1,2,,9.2,14.6,19.7,23.1,,,30,
,,,,,,,,,,,,,,,,,,,,
,フリード,2.5,3,,6 ※3,8 ※3,,,,,2,,,,,,,,33,
,フリード（箒）,2.5,1,8,8,8,8,10,,,2,,,,,,,,33,
,シャオリン,2.5,4,,8 ※4,8,10,10,,12,7,,,,,,8,1200～∞,29,
,カゼ,2.5,7,,7,7,12,7,,7 ※4,2,,5,21,25,12.5,1.5,,35,
,シャープ,2.5,4 ※3,8,8,10,6,30,,,2,,,,,,,500,35 ※3,
,アリス,2.5,4,,8,,12,60(1)  ※3 ※4,,,2,,7.3,12,18.25,18.25,18,400,29,
,アリス(蒼炎),2.5,5,,6,,12,,,,2,,7.3,∞,18.25,18.25,,400,29,
,スカイセーバー,2.5,4 ※3,,7  ※3,4 ※3,9 ※3,,,10,2,,6.7,22.7,18.27,20.7,,∞,31,
,18号,2.5,手動リロ,,10,,10(3) ※2,,,,2,,,,,,,,31,
,シグナス,2.5,1.5 ※3,4,6,8,35 ※2,10,,,2,,8.5,∞,17,60,,400,31,
,アンジェリス,2.5,3,4 ※5,6 ※4,6,12 ※1,45 ※2,,10 ※4,2,,,,,,7,300,34,
,アンジェ(強化),2.5,3,4 ※5,6,6,12 ※1,10,20  ※1,10 ※1 ※4,2,,,,,,5,300,34,
,ヴァルキア,2.5,3,6,6,10,,覚醒リロ ※4,,,2,,,,,,,,29,
,ヴァルキア(暴走),2.5,3,7 ※3,7 ※3,10,,,,15,2,,,,,,30,,29,
,ヴァルキア(復活),2.5,,,,,,,,15,2,,,,,,∞,,29,
,エヴァ,2.5,3,6,6,17(3) ※2 ※4,8,,,10,2,,7.3,∞,21.9,33.3,7[3],,33,[]内は後メイン格闘の持続時間
,エヴァ(ケプラー),2.5,3,6,6,,8,,,10,2,,7.3,∞,21.9,33.3,,,33,
,轟雷改,2.5,手動リロ,,7,,10,,,,2,,,,,,,,32,
,バーゼラルド,2.5,3,,7 ※3,8,4,46  ※3 ※4,,12,2,,11[+5],19.8,22,25.38,16.6,,34,  []内はサブ格闘サブ格闘派生で浮き上がった高さ
,稲,2.5,3,8,7,12,12[3],8,,7,2,,,,,,,,34,
,ノーラ,2.5,3[8],10(1.5),5,,,,,6(2),2,,,,,,,,29,  []内はサブ格闘派生メイン射撃の数値
,ランスロット,2.5,3,4,6,12,,33 ※2 ※4,,9,2,,8.1,14.3,27,25.2,20,,33,
,ランスロット(蒼炎),2.5,3,4,6,12,,10,,9,2,,8.1,14.3,27,25.2,,,33,
,サンダーボルト・OTOME,2.5,3,5,6,,6,,,10,2,,,,,,25[3],∞,33,[]内の数値はバリアの持続時間
,ガラハット・暁,2.5,3,,6,10,,23(3) ※2 ※4,,,2,,,,,,20,,33,
,ガラハット・暁(強化),2.5,3,,6,6,6,,,20,2,,8.9,∞,24.23,87,10,500,33,
,デッド・アライブ,2.5,6,,6,,6,26(3) ※2 ※4,,7,2,,,,,,,,33,
,デッド・アライブ（強化）,2.5,6,6 ※3,6,6,,4,,,2,,,,,,33,,33,後サブ格闘はサブ格闘メイン射撃の数値
,ハルカ,2.5,5,,7,12,7,23 ※2 ※4,,23 ※2 ※4,2,,,,,,23,,33,
,ドラグナー,2.5,4,,4,6,,,,10,2,,,,,,,,35,
,ドラグナー（巡航）,2.5,3,,5,,5,,6,,,,,,,,,,35,
,レキ,2.5,7,,4,39.5(3) ※2 ※4,7,7※3,,,2,,,,,,20,∞,30,
,BSR(砲撃),2.5,4[0.3],,8,12,,10,,,2,,7.9,10.8,19.75,11.57,,,34,  []内は射撃CSのチャージ時間
,BSR(格闘),2.5,0.6,,7,,,10,,,2,,7.9,10.8,19.75,11.57,,,31,
,デッドマスター,2.5,3,,8,9,12 ※1,20,,,2,,,,,,,,33,
,,,,,,,,,,,,,,,,,,,,
,ベータ,2,3,,8,12 ※1,,,,,2,,11.8,14,14.8,33.9,,,31,
,ブリーカー,2,3,6,5,10,,,,,2,,,,,,,,27,
,デュカリオン,2,3,,12,9,,,,10,2,,,,,,,,33,
,アイーダ,2,3 ※3,,8,,15 ※3,,,6  ※3 ※4,2,,,,,,∞,,35,
,ザハロワ,2,3,,9※3,,10,8 ※3,,8 ※3,2,,,,,,,,35,
,パラス,2,4,,3 ※1,,6,6,,,2,,6.9,∞,17.25,15.9,,,29,
,セラフィム,2,6,8,5 ※1 ※3,10,10,,,,3,,,,,,,200,29,
,セラフィム(弓),2,5,,6 ※1 ※3,,16(3) ※4 ※8,,,,3,,,,,,3 ※3,∞,35,
,スコーピオン,2,3,,12,8,0.4[s/F] ※3 ※4 ※9,,,4 ※3,2,,,,,,7.3,,31,
,スコピ(戦車),2,3,,,,,,,,2,,,,,,5,,31,
,ヴァーチェ,2,3,10,10,20 ※4,8 ※3,,,3 ※3,7,,2.7,∞,5.8,39.5,2,,29,
,咲迦,2,4 ※3,,8,8,8,8 ※3,,6,2,,4.2,∞,12.6,19.2,,,29,
,チンニ ※8,2,3,,9,1 ※1,6.8  ※4 ※6,,,33(1) ※7,2,,,,,,11.2,,35,
,ダークスター,2,3,,8,20(3) ※1 ※4,30(3) ※1 ※2 ※4 ※8,6,,12,2,,,,,,10[2],500,33, []内は後サブ射撃の数値
,ヒビキ(ポンショダガー),2,5,,2,7,,,,,2,,,,,,,475,27,
,ボルゾイ,2,3,,4,3,,,,8(2),2,,,,,,3,,30,
,スティレット,2,6,,7,,6,,,12,2,,,,,,,,30,
,キャッティ,2,3,,6(3),12,,,,6,2,,4.1,∞,12.3,27.89,,∞,31,
,ガラハット,2,5,,5,,6,,,15,2,,9.1,∞,30.33,70.6,12,,31,
,フランカー,2,3,6,6,10,,,,,2,,,,,,,,27,
,アイスリン,2,4,6,4,,6,17,,8,2,,,,,,,,35,
,クリスタ,2,3,6,7,13,10,,,8,2,,,,,,,,33 ※3,
,タチアナ,2,2,5,5(1.5),,8,,,16 ※4,2,,,,,,6.5,,29,
,フィービー,2,4,,6  ※3,12,17 ※2 ※4,7,,8,2,,,,,,23,,35,
,,,,,,,,,,,,,,,,,,,,
,カタリナ,1.5,4,,8,7,,,,,2,,5.9,∞,12.6,44.3,,,33,
,オーキッド,1.5,6,,18 ※4,,6,6,,,2,,5,5,12.5,12.5,5,,27,
,スノーウォル,1.5,3,6,,,10,12,,7 ※4,2,,,,,,1.3,,37,
,スノウォ(狙撃),1.5,4,6, ※4,,,,,,2,,,,,,20,,47,
,ローランド,1.5,4,,8,12,,10,※4,10 ※4,2,,5.8,7.6,14.5,21.75,20,,29,
,ヤミン,1.5,3,, ※4,5, ※4,7 ※1,,2   ※1,2,,,,,,20,,33,
,,,,,,,,,,,,,,,,,,,,
,,,※1:弾が手元に戻って来る又は攻撃が発生し終えたら又は着地をしたらリロード      ※2:弾数が一定数貯まらないと再使用できない武装      ※3:公式で公開されているデータ      ※4:効果時間を項目【各種効果時間】、耐久値を項目【耐久値】で表記している武装,,,,,,,,,,,,,,,,,
,,,※5:各種射撃派生の数値       ※6:Nサブ格闘を使用した際のゲージ回復速度を表示      ※7:1セット発射した際のリロード速度      ※8:S覚醒によるリロード高速化非対応      ※9:単位は消費ブースト容量毎フレーム,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,補足,,,,,,,,,,,,,,,,,
,,,・通常文字は常時リロード式（例:1.2.3.4.5.6.7.8.9.0）、太文字は撃ち切りリロード式（例:1.2.3.4.5.6.7.8.9.0）、太文字斜体は単発装填武装（例:1.2.3.4.5.6.7.8.9.0）,,,,,,,,,,,,,,,,,
,,,・()内はクールタイムの数値,,,,,,,,,,,,,,,,,
