,,,,,,,
,キャラクター名,コスト,1      凸,2      凸,3      凸,4      凸,5      凸
,ヴォイドセーバー,3,「メイン格闘中」中、「横サブ格闘派生」の「Trans-void Activate」が使用可能になる,「サブ射撃副弾数」のリロード時間1秒短縮,「メイン格闘中」中、「後メイン格闘派生」の「格闘プログラム・エクステンドⅢ」が使用可能になる,「後メイン格闘」がチャージ可能になる,「後バーストアタック」の「合成兵装・オーバーリミット射撃」が使用可能になる
,,,,,,,
,フリード,2.5,「サブ格闘時横サブ射撃」の「アクロバティックショット・側転（魔女騎乗）」が使用可能になる,「メイン射撃」と「各種サブ射撃」を「サブ格闘」でキャンセル可能になる,「後サブ射撃」の「マジックショット・分裂」が使用可能になる,「騎乗中サブ格闘副弾数」の弾数+1,「メイン格闘」中、「サブ格闘派生」の「ステラインパクト」が使用可能になる
,シャオリン,2.5,「サブ格闘主弾数」の弾数+1,パッシブスキル「武学：接」成功時に誘導切りが追加される,「メイン格闘」中、「サブ射撃派生」の「追月」が使用可能になる,「バーストアタック」の持続時間が延長される,パッシブスキル「武学：発」が発動した時、「サブ射撃」がリロードされる
,カゼ,2.5,「横サブ射撃」の「グレネードランチャー・側転」が使用可能になる,「横サブ射撃」長押しで射撃時間増加,「サブ格闘」と「横サブ格闘」を「後サブ格闘」でキャンセル可能になる,「メイン射撃主弾数」の弾数+12,「サブ射撃主弾数」及び「サブ射撃副弾数」の弾数+1
,シャープ,2.5,"「サブ射撃主弾数」の弾数+1
「後サブ射撃」の「曲折モード」が使用可能になる",「メイン射撃主弾数」の弾数+1,「後サブ格闘」チャージ中、一段階バリアを一時的に展開する,「後サブ格闘」の完全チャージに成功した場合、シャープを囲む3発のエネルギー弾を生成する,「Nメイン格闘最終段」を「Nサブ射撃」でキャンセル可能になる
,アリス,2.5,「サブ格闘副弾数」の初期ゲージ+20,「蒼炎時サブ格闘主弾数」の弾数+1,「メイン格闘」命中時、「後サブ格闘」のゲージ回収量増加（4→5）,「蒼炎時メイン射撃主弾数」の弾数+1,「蒼炎モード」持続時間+3秒
,スカイセーバー,2.5,「後メイン格闘」の「アーム・ビームガン・斉射」が使用可能になる,「レバー入れサブ射撃」と「横サブ格闘」がオーバーヒート状態でも使用可能になる,「サブ格闘」中、「サブ射撃派生」で「格闘プログラム・ユニークⅢ」が使用可能になる,「メイン射撃主弾数」のリロード時間1秒短縮,「爆発中メイン格闘サブ射撃派生」がヒットした場合、ブースト回復量が増加する（13→22）
,18号,2.5,「サブ格闘」中、「メイン格闘派生」の「ライトニングレイザー」が使用可能になる,「サブ格闘中メイン射撃派生」に誘導切りが追加される,「メイン射撃主弾数」の弾数+2,「サブ格闘主弾数」の弾数+30,「メイン格闘」中、「サブ射撃派生」の「バイオレンスラッシュ」が使用可能になる
,シグナス,2.5,「レバー入力メイン射撃」が連続使用可能になる,「メイン射撃副弾数」の弾数+1,「サブ射撃主弾数」の弾数+1,「後サブ格闘」に追加ダメージが発生する,「サブ格闘」がコストオーバー状態で復帰しても使用可能になる
,アンジェリス,2.5,「レバー入れサブ射撃」が弾切れ時でも移動のみ使用可能になる,「サブ格闘」にスーパーアーマー付与,「神託状態時メイン格闘」が移動可能になる,「メイン射撃主弾数」の弾数+1,「通常状態時後メイン格闘」が破壊された場合、「後サブ格闘」のゲージ+10
,ヴァルキア,2.5,「サブ格闘」中、「メイン格闘派生」の「抑制戦術・γ」が使用可能になる,「サブ射撃副弾数」のリロード時間2秒短縮,「暴走状態及びクリティカル状態」の出血ダメージ軽減(毎秒30ダメ→毎秒20ダメ),「クリティカル状態」時耐久増加（500→800）,「クリティカル状態後メイン射撃」の「援護協定・99EX（クリティカル）」が使用可能になる
,エヴァ,2.5,「メイン射撃中サブ格闘」で追加攻撃が1回発生,「サブ射撃主弾数」の弾数+1,「メイン射撃副弾数」のリロード時間2秒短縮,「後メイン格闘」の持続時間+1秒,「後バーストアタック」が命中した場合、チャージ動作中に攻撃ボタンを押すことで自爆をキャンセルしエネルギーフィールドか発生する
,轟雷改,2.5,「サブ格闘」がオーバーヒート状態でも使用可能になる,「サブ格闘主弾数」の弾数+1,「N・横メイン格闘」命中時「サブ格闘派生」をすることで、「サブ格闘メイン格闘派生」の技を使用可能になる,「サブ射撃主弾数」のリロード時間2秒短縮,「後バーストアタック」の「轟雷改（with Frame Arms Girl）～最終戦仕様～」が使用可能になる
,バーゼラルド,2.5,「サブ格闘」がオーバーヒート状態でも使用可能になる,「サブ格闘」中「サブ格闘派生」に誘導切りが追加される,「サブ射撃主弾数」のリロード時間2秒短縮,「サブ格闘」の飛行時間1.4秒→1.65秒,「爆発技」の発射弾数が増加する(30→44)
,稲,2.5,「メイン射撃」の2段目を使用する際、弾薬を消費しない,「後メイン射撃」の「バックジャンプ射撃」が使用可能になる,「メイン射撃主弾数」弾数+1,「サブ射撃副弾数」のリロード時間2秒短縮,「後バーストアタック」の「流星の一矢」が使用可能になる
,ノーラ,2.5,「サブ射撃主弾数」のリロード時間2秒短縮,「後メイン格闘」に射撃バリア追加,「メイン格闘」中、「サブ射撃派生」の「断空乱れ斬り！」が使用可能になる,「後メイン格闘」で格闘武装のカウンター斬り抜けが成功した場合、「オーバーロード」の効果時間全回復,「バーストアタック」の衝撃波発動中「サブ格闘派生」でキャンセルが可能になる
,ランスロット,2.5,「左右サブ格闘」がオーバーヒート状態でも使用できる。ただし移動量は低下する,「サブ射撃主弾数」のリロード-2秒,「蒼炎時サブ格闘副弾数」の弾数+1,「メイン射撃副弾数」のリロード1秒短縮,「後バーストアタック」の「蒼炎よ、新たなる騎士に祝福あれ」が使用可能になる
,サンダーボルト・OTOME,2.5,「サブ射撃主弾数」の弾数+1,「Nサブ格闘」の弾数無限化,「左右サブ格闘」がオーバーヒート状態でも使用できる。ただしその場合移動量は低下する,「メイン格闘副弾数」のリロード-2秒,「サブ格闘主弾数」の弾数+1
,ガラハット・暁,2.5,「アカツキ状態メイン格闘」中、「サブ射撃派生」の「最後の裁き(アカツキ)」が使用可能になる,「アカツキ状態サブ射撃主弾数」のリロード時間1秒短縮,「通常状態サブ射撃主弾数」の弾数+1,「アカツキ状態後メイン格闘」の耐久値+200,「後バーストアタック」の「聖裁の剣よ、この世のすべての悪を断つ」が使用可能になる
,デッド・アライブ,2.5,「通常状態後メイン格闘」の「棺の秘密」が使用可能になる,「デッド・アライブ中後メイン格闘」の「関係者以外立入禁止(デッド・アライブ)」が使用可能になる,「通常状態メイン射撃」の弾数+36,「デッド・アライブ中サブ射撃副弾数」の弾数+1,「後バーストアタック」の「サプライズプレゼント」が使用可能になる
,ハルカ,2.5,「サブ格闘主弾数」の弾数+1,「サブ格闘」中、「メイン射撃派生」の「ブーメラン・ヘビーハンマー」が使用可能になる,「メイン格闘」中、「サブ格闘派生」の「紫陽花・ヘビーハンマー」が使用可能になる,「メイン格闘副弾数」及び「サブ格闘副弾数」の0-100のリロード時間6秒短縮,「後バーストアタック」の「流火の星・審判」が使用可能になる
,ドラグナー,2.5,「後メイン格闘」の「RADS-061 射出型機雷」が使用可能になる,「サブ射撃副弾数」のリロード時間2秒短縮,「巡航モード中サブ格闘」に誘導切り追加,「バーストアタック」に前後サブ格闘と同性能の攻撃が追加される,「巡航モード中」全武装のリロード時間1秒短縮
,レキ,2.5,「メイン射撃」の弾丸に射撃バリアが追加される,「サブ格闘主弾数」の弾数+1,「前サブ射撃」の「龍影召来」が使用可能になる,「メイン格闘」中、「サブ格闘派生」の「雷鳴三閃」が使用可能になる,「コストオーバー」時「スターバースト」中に撃破されると復活する
,BSR,2.5,「砲撃モードメイン射撃主弾数」の弾数+1,「サブ格闘副弾数」のリロード-2秒,「砲撃モード後サブ射撃」の「耀光(砲撃モード)」が使用可能になる,"「砲撃モード」の赤ロック+1m
「格闘モード」の機動力+3％",「後バーストアタック」の「ファイナル・ブラスト」が使用可能になる
,デッドマスター,2.5,「サブ格闘主弾数」のリロード-3秒,「サブ射撃副弾数」のリロード-3秒,「メイン格闘」中、「サブ射撃派生」の「ソウル・ドレイン」が使用可能になる,「メイン射撃主弾数」の弾数+1,「後バーストアタック」の「ファイナル・ブラスト」が使用可能になる
,,,,,,,
,ベータ,2,「メイン射撃」が3点射可能になる,「サブ射撃主弾数」の弾数+1,「サブ格闘」の弾数無限化,「メイン射撃」を「サブ射撃」でキャンセル可能になる,「メイン射撃主弾数」弾数+2
,ブリーカー,2,「横サブ射撃」の「虎牙二号・パルス」が使用可能になる,「後メイン格闘」弾数無限化,「サブ射撃主弾数」の弾数+1,「後サブ射撃副弾数」のリロード時間2秒短縮,「メイン格闘」中、「サブ射撃派生」の「逃さねぇ！」が使用可能になる
,デュカリオン,2,「後サブ射撃」の「ステラバレット」が使用可能になる,「Nサブ射撃」と「後サブ射撃」を「レバー入力サブ格闘」でキャンセル可能になる,「Nサブ格闘」の弾数無限化,「メイン射撃主弾数」の弾数+2,「メイン格闘」中、「サブ射撃派生」の「零距離照射」が使用可能になる
,アイーダ,2,「後サブ格闘」をステップやBD等でキャンセルしても射撃を継続する,「サブ射撃主弾数」の弾数+1,「後メイン格闘」にスーパーアーマー付与,「後サブ格闘」の弾数無限化,「メイン射撃」と「サブ射撃」と「サブ格闘」が相互キャンセル可能になる
,ザハロワ,2,「後メイン射撃」の「制式短銃・連発」が使用可能になる,「サブ射撃」を「各種サブ格闘」でキャンセル可能になる,「サブ格闘主弾数」の弾数+1,「後サブ格闘」連射数増加（11発→16発）,「メイン格闘」中、「サブ格闘派生」の「零距離砲撃」が可能になる
,パラス,2,「メイン格闘」中、「サブ格闘派生」の「ライオンホイール」が使用可能になる,「N・横サブ格闘」のヒット数+2,「メイン射撃」の弾数+1,「後サブ格闘」で接地した時、「各種メイン格闘」にキャンセル可能になる,「後サブ格闘」の最終段に爆風ダメージを追加
,セラフィム,2,「降臨状態メイン射撃」の2段チャージ時の赤ロック距離が拡大される（75→150以上）,「通常状態後メイン射撃」を使用すると「サブ射撃」のビットが連動して攻撃をする,「降臨状態ガード」で射撃属性攻撃のガードが成功した場合、「降臨状態サブ射撃」で自動反撃をする,「ガード」を使用した場合、その場に射撃バリアを設置する,「降臨状態メイン射撃主弾数」の弾数+1
,スコーピオン,2,「後サブ射撃」のヒット数+1,「前メイン格闘」投擲時、地面にマグマを生成する,自キャラクターが生成したマグマによる自傷ダメージ無効化,「サブ格闘」使用時、通り道にマグマを生成する,「サブ射撃副弾数」のリロード時間2秒短縮
,ヴァーチェ,2,「後格闘」がジャストチャージに成功した場合、最大チャージ状態の攻撃が出る（継承は1段階チャージ）,「サブ射撃」の連射数が増加する（10発→16発）,「ガード」で格闘攻撃のカウンター成功若しくは「後格闘」の最大チャージが相手に命中した時、吹き飛ばされた相手に攻撃判定を付与する,「メイン射撃主弾数」の弾数+2,ガード成功時、バーストゲージを多く得られる(1ヒット辺り0.5→1.5)
,咲迦,2,「各種サブ格闘」をオーバーヒート状態でも使用可能になる,「メイン射撃主弾数」のリロード時間1秒短縮,「メイン格闘」中、「サブ格闘派生」の「あ♥げ♥る」が可能になる,「後サブ射撃」ヒット時の持続時間増加（1.8秒→2.6秒）,「N・横メイン格闘」長押しでヒット数増加及びコンボ完走
,チンニ,２,「サブ射撃主弾数」の弾数+1,「サブ格闘中サブ射撃」の攻撃回数増加,「サブ格闘」の移動速度増加,「後メイン格闘使用時」の弾数消費軽減（初期消費6→4）,ガード成功時、「サブ格闘」ゲージ回収量増加
,ダークスター,2,「サブ射撃主弾数」のリロード時間1秒短縮,「サブ射撃」のビット移動速度上昇,「後メイン格闘」の「高出力モード」が使用可能となる,「後サブ射撃副弾数」のリロード時間5秒短縮,「サブ格闘主弾数」の0-100のリロード時間3秒短縮
,チンニ,２,「サブ射撃主弾数」の弾数+1,「サブ格闘中サブ射撃」の攻撃回数増加,「サブ格闘」の移動速度増加,「後メイン格闘使用時」の弾数消費軽減（初期消費6→4）,ガード成功時、「サブ格闘」ゲージ回収量増加
,デュカリオン,2,「後サブ射撃」の「ステラバレット」が使用可能になる,「Nサブ射撃」と「後サブ射撃」を「レバー入力サブ格闘」でキャンセル可能になる,「Nサブ格闘」の弾数無限化,「メイン射撃主弾数」の弾数+2,「メイン格闘」中、「サブ射撃派生」の「零距離照射」が使用可能になる
,ヒビキ,2,「メイン格闘」中、「メイン射撃派生」の「ストライク戦術・α」が使用可能になる,「メイン射撃1」の弾数+2,「メイン射撃2（M990）」の弾数+1,アサルトアーマの耐久値増加（400→475）,「横サブ射撃」のリロード時間1秒短縮
,ボルゾイ,2,「メイン射撃主弾数」のリロード時間1秒短縮,「Nサブ射撃」で投擲するナイフの数が増える(3→5),「後メイン格闘」の「散弾・乱射」が使用可能となる,「サブ射撃副弾数」のリロード時間1秒短縮,「メイン格闘」中、「サブ射撃派生」の「ガミツキ」が使用可能になる
,スティレット,2,「Nサブ格闘」に誘導切りが追加される,「サブ射撃主弾数」のリロード時間2秒短縮,「後サブ格闘」の「ブーストダッシュ【後退】」が使用可能になる,「サブ格闘主弾数」のリロード時間1秒短縮,「前メイン格闘」の最終段に爆発が追加され、強制ダウンになる
,キャッティ,2,「後メイン格闘」がヒット時弾が真上に上がり、落下時ヒットに爆発が追加される,「サブ射撃副弾数」の弾数+1,「メイン格闘副弾数」の弾数+1,「メイン射撃主弾数」の弾数+1,「メイン格闘」中、「サブ格闘派生」の「騎士戦技・大車輪」が使用可能になる
,ガラハット,2,「後メイン格闘」の「厄災」が使用可能になる,「メイン射撃主弾数」の弾数+1,「横サブ格闘」をオーバーヒート状態でも使用可能になる,「聖杯の呪い」の効果時間+2秒,「メイン格闘」中、「サブ射撃派生」の「極刑」が使用可能になる
,フランカー,2,オーバーヒート状態でも「サブ格闘」が使用可能になる,「メイン射撃主弾数」の弾数+2,「サブ射撃副弾数」の弾数+1,「サブ射撃主弾数」のリロード時間-2秒,「メイン格闘」中、「サブ格闘派生」の「サービスだよ～」が使用可能になる
,アイスリン,2,「メイン射撃主弾数」の弾数+1,「メイン格闘」中、「サブ射撃派生」の「愛の旋律」が使用可能になる,「メイン射撃副弾数」の弾数+1,「後サブ格闘」が1回追加攻撃するようになる,「サブ射撃主弾数]のリロード時間2秒短縮
,クリスタ,2,「後サブ射撃」中、「サブ射撃派生」の「浄化の光・再臨」が使用可能になる,「サブ格闘サブ格闘派生」に誘導切り追加,「サブ射撃主弾数」の弾数+1,「メイン格闘」中、「サブ射撃派生」の「アタッシュケース・追撃」が使用可能になる,「後バーストアタック」の「■光の加護」が使用可能になる
,タチアナ,2,「後メイン格闘」以外の武装がヒットした時「各種サブ射撃」でキャンセル可能になる,「メイン格闘」中、「メイン射撃派生」の「幻影連打」が使用可能になる,「メイン格闘中」中、「サブ射撃派生」の「高速斬撃」が使用可能になる,「メイン格闘副弾数」のリロード時間4秒短縮,「後サブ格闘」の「チャンピオン・インパクト」が使用可能になる
,フィービー,2,「後サブ格闘」の「はたき突撃」が使用可能になる,「メイン射撃」が2連射するようになる,「後メイン格闘」の「こっちに来ないで！」が使用可能になる,「Nサブ格闘」の効果時間+6秒,「サブ射撃副弾数」のリロード時間が4秒短縮
,,,,,,,
,カタリナ,1.5,「後サブ射撃」の「ダガー・一斉射撃」が使用可能になる,「前メイン格闘」長押しでヒット数増加,「メイン格闘」中、「サブ射撃派生」の「ダガーダンス」が使用可能になる,「サブ射撃副弾数」の弾数+1,「Nサブ格闘」のダメージが増加し、強制ダウンになる
,オーキッド,1.5,「サブ格闘主弾数」の弾数+1,「サブ射撃」使用中、「サブ格闘」が使用可能になる。また「サブ射撃中サブ格闘」使用時、「メイン射撃」を使用しても「サブ射撃」が解除されない,「サブ射撃」のリロード時間2秒短縮,「サブ射撃」の効果時間+0.5秒,「メイン格闘」中、「サブ射撃派生」の「オーキッドスピン」が使用可能になる
,スノーウォル,1.5,「後メイン格闘」の「猟兵の罠」が使用可能になる,「後サブ格闘」が強制ダウンになる,「後サブ格闘」の投擲数+1,「サブ射撃中メイン射撃」の弾数+1,「メイン射撃副弾数」の弾数+1
,ローランド,1.5,「解放状態サブ格闘」に追加攻撃が発生する,「前サブ格闘」のブースト消費量が減少する（32→22）,「サブ射撃主弾数」の弾数+1,「サブ格闘主弾数」の弾数+1,「解放状態」の持続時間+5秒
,ヤミン,1.5,「メイン格闘各種派生」は相互キャンセルが可能になる,「サブ射撃副弾数」のリロード時間-2秒,「後サブ格闘」を「後メイン格闘」で弾くことで突撃が発動可能になる,「後サブ格闘」の追従時間が増加する（2.5秒→3.5秒）,「後サブ格闘」を「後メイン格闘」で弾いたとき、斬撃を発射するようになる
